STOP_ID,DIRECTION_ID,STOP_NAME,STATION_NAME,STATION_DESCRIPTIVE_NAME,MAP_ID,ADA,RED,BLUE,G,BRN,P,Pexp,Y,Pnk,O,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards
30228,S,Jarvis (95th-bound),Jarvis,Jarvis (Red Line),41190,false,true,false,false,false,false,false,false,false,false,"(42.015876, -87.669092)",3,21853,10,357,5
30227,N,Jarvis (Howard-bound),Jarvis,Jarvis (Red Line),41190,false,true,false,false,false,false,false,false,false,false,"(42.015876, -87.669092)",3,21853,10,357,5
30248,S,Jefferson Park (Forest Pk-bound),Jefferson Park,Jefferson Park (Blue Line),41280,true,false,true,false,false,false,false,false,false,false,"(41.970634, -87.760892)",20,21869,11,129,50
30247,N,Jefferson Park (O'Hare-bound),Jefferson Park,Jefferson Park (Blue Line),41280,true,false,true,false,false,false,false,false,false,false,"(41.970634, -87.760892)",20,21869,11,129,50
30219,N,Kedzie (Loop-bound),Kedzie,Kedzie (Orange Line),41150,true,false,false,false,false,false,false,false,false,true,"(41.804236, -87.704406)",49,22248,55,776,8
30220,S,Kedzie (Midway-bound),Kedzie,Kedzie (Orange Line),41150,true,false,false,false,false,false,false,false,false,true,"(41.804236, -87.704406)",49,22248,55,776,8
30202,W,Kedzie (54th/Cermak-bound),Kedzie,Kedzie (Pink Line),41040,true,false,false,false,false,false,false,false,true,false,"(41.853964, -87.705408)",36,21569,30,202,14
30201,E,Kedzie (Loop-bound),Kedzie,Kedzie (Pink Line),41040,true,false,false,false,false,false,false,false,true,false,"(41.853964, -87.705408)",36,21569,30,202,14
30225,N,Kedzie (Kimball-bound),Kedzie,Kedzie (Brown Line),41180,true,false,false,false,true,false,false,false,false,false,"(41.965996, -87.708821)",2,21849,14,118,20
30226,S,Kedzie (Loop-bound),Kedzie,Kedzie (Brown Line),41180,true,false,false,false,true,false,false,false,false,false,"(41.965996, -87.708821)",2,21849,14,118,20
30207,E,Kedzie (63rd-bound),Kedzie,Kedzie (Green Line),41070,true,false,false,true,false,false,false,false,false,false,"(41.884321, -87.706155)",41,21184,28,50,46
30208,W,Kedzie (Harlem-bound),Kedzie,Kedzie (Green Line),41070,true,false,false,true,false,false,false,false,false,false,"(41.884321, -87.706155)",41,21184,28,50,46
30049,W,Kedzie-Homan (Forest Pk-bound),Kedzie-Homan,Kedzie-Homan (Blue Line),40250,true,false,true,false,false,false,false,false,false,false,"(41.874341, -87.70604)",36,21572,28,765,14
30048,E,Kedzie-Homan (O'Hare-bound),Kedzie-Homan,Kedzie-Homan (Blue Line),40250,true,false,true,false,false,false,false,false,false,false,"(41.874341, -87.70604)",36,21572,28,765,14
30250,S,Kimball (Loop-bound),Kimball,Kimball (Brown Line),41290,true,false,false,false,true,false,false,false,false,false,"(41.967901, -87.713065)",2,21849,14,118,20
30249,N,Kimball (Terminal arrival),Kimball,Kimball (Brown Line),41290,true,false,false,false,true,false,false,false,false,false,"(41.967901, -87.713065)",2,21849,14,118,20
30217,E,King Drive (Cottage Grove-bound),King Drive,King Drive (Green Line),41140,true,false,false,true,false,false,false,false,false,false,"(41.78013, -87.615546)",53,22260,9,332,4
30218,W,King Drive (Harlem-bound),King Drive,King Drive (Green Line),41140,true,false,false,true,false,false,false,false,false,false,"(41.78013, -87.615546)",53,22260,9,332,4
30118,W,Kostner (54th/Cermak-bound),Kostner,Kostner (Pink Line),40600,true,false,false,false,false,false,false,false,true,false,"(41.853751, -87.733258)",36,21569,30,753,14
30117,E,Kostner (Loop-bound),Kostner,Kostner (Pink Line),40600,true,false,false,false,false,false,false,false,true,false,"(41.853751, -87.733258)",36,21569,30,753,14
30290,S,Lake (95th-bound),Lake,Lake (Red Line),41660,true,true,false,false,false,false,false,false,false,false,"(41.884809, -87.627813)",22,14309,38,580,36
30289,N,Lake (Howard-bound),Lake,Lake (Red Line),41660,true,true,false,false,false,false,false,false,false,false,"(41.884809, -87.627813)",22,14309,38,580,36
30135,E,Laramie (63rd-bound),Laramie,Laramie (Green Line),40700,true,false,false,true,false,false,false,false,false,false,"(41.887163, -87.754986)",11,22216,26,696,23
30136,W,Laramie (Harlem-bound),Laramie,Laramie (Green Line),40700,true,false,false,true,false,false,false,false,false,false,"(41.887163, -87.754986)",11,22216,26,696,23
30262,W,LaSalle (Forest Pk-bound),LaSalle,LaSalle (Blue Line),41340,false,false,true,false,false,false,false,false,false,false,"(41.875568, -87.631722)",48,14913,38,92,10
30261,E,LaSalle (O'Hare-bound),LaSalle,LaSalle (Blue Line),41340,false,false,true,false,false,false,false,false,false,false,"(41.875568, -87.631722)",48,14913,38,92,10
30031,W,LaSalle/Van Buren (Inner Loop),LaSalle/Van Buren,"LaSalle/Van Buren (Brown, Orange, Purple & Pink Lines)",40160,false,false,false,false,false,false,true,false,true,true,"(41.8768, -87.631739)",48,14913,38,92,10
30030,E,LaSalle/Van Buren (Outer Loop),LaSalle/Van Buren,"LaSalle/Van Buren (Brown, Orange, Purple & Pink Lines)",40160,false,false,false,false,true,false,false,false,false,false,"(41.8768, -87.631739)",48,14913,38,92,10
30150,S,Lawrence (95th-bound),Lawrence,Lawrence (Red Line),40770,false,true,false,false,false,false,false,false,false,false,"(41.969139, -87.658493)",40,22616,31,634,39
30149,N,Lawrence (Howard-bound),Lawrence,Lawrence (Red Line),40770,false,true,false,false,false,false,false,false,false,false,"(41.969139, -87.658493)",40,22616,31,634,39
30204,S,Linden (Howard-Loop-bound),Linden,Linden (Purple Line),41050,true,false,false,false,false,true,true,false,false,false,"(42.073153, -87.69073)",,9857,,,
30203,N,Linden (Linden-bound),Linden,Linden (Purple Line),41050,true,false,false,false,false,true,true,false,false,false,"(42.073153, -87.69073)",,9857,,,
30198,S,Logan Square (Forest Pk-bound),Logan Square,Logan Square (Blue Line),41020,true,false,true,false,false,false,false,false,false,false,"(41.929728, -87.708541)",15,22535,23,72,12
30197,N,Logan Square (O'Hare-bound),Logan Square,Logan Square (Blue Line),41020,true,false,true,false,false,false,false,false,false,false,"(41.929728, -87.708541)",15,22535,23,72,12
30252,S,Loyola (95th-bound),Loyola,Loyola (Red Line),41300,true,true,false,false,false,false,false,false,false,false,"(42.001073, -87.661061)",3,21853,10,48,5
30251,N,Loyola (Howard-bound),Loyola,Loyola (Red Line),41300,true,true,false,false,false,false,false,false,false,false,"(42.001073, -87.661061)",3,21853,10,48,5
30053,S,Main (Howard-Loop-bound),Main,Main (Purple Line),40270,false,false,false,false,false,true,true,false,false,false,"(42.033456, -87.679538)",,26609,,,
30052,N,Main (Linden-bound),Main,Main (Purple Line),40270,false,false,false,false,false,true,true,false,false,false,"(42.033456, -87.679538)",,26609,,,
30090,N,Merchandise Mart (Kimball-Linden-bound),Merchandise Mart,Merchandise Mart (Brown & Purple Lines),40460,true,false,false,false,true,false,true,false,false,false,"(41.888969, -87.633924)",22,4446,37,670,36
30091,S,Merchandise Mart (Loop-bound),Merchandise Mart,Merchandise Mart (Brown & Purple Lines),40460,true,false,false,false,true,false,true,false,false,false,"(41.888969, -87.633924)",22,4446,37,670,36
30182,S,Midway (Arrival),Midway,Midway (Orange Line),40930,true,false,false,false,false,false,false,false,false,true,"(41.78661, -87.737875)",35,21867,53,86,15
30181,N,Midway (Loop-bound),Midway,Midway (Orange Line),40930,true,false,false,false,false,false,false,false,false,true,"(41.78661, -87.737875)",35,21867,53,86,15
30154,S,Monroe (Forest Pk-bound),Monroe,Monroe (Blue Line),40790,false,false,true,false,false,false,false,false,false,false,"(41.880703, -87.629378)",22,14311,38,92,36
30212,S,Monroe (95th-bound),Monroe,Monroe (Red Line),41090,false,true,false,false,false,false,false,false,false,false,"(41.880745, -87.627696)",22,14311,38,367,36
30211,N,Monroe (Howard-bound),Monroe,Monroe (Red Line),41090,false,true,false,false,false,false,false,false,false,false,"(41.880745, -87.627696)",22,14311,38,367,36
30153,N,Monroe (O'Hare-bound),Monroe,Monroe (Blue Line),40790,false,false,true,false,false,false,false,false,false,false,"(41.880703, -87.629378)",22,14311,38,92,36
30260,S,Montrose (Forest Pk-bound),Montrose,Montrose (Blue Line),41330,false,false,true,false,false,false,false,false,false,false,"(41.961539, -87.743574)",20,21869,16,362,38
30259,N,Montrose (O'Hare-bound),Montrose,Montrose (Blue Line),41330,false,false,true,false,false,false,false,false,false,false,"(41.961539, -87.743574)",20,21869,16,362,38
30287,N,Montrose (Kimball-bound),Montrose,Montrose (Brown Line),41500,true,false,false,false,true,false,false,false,false,false,"(41.961756, -87.675047)",13,22616,6,225,18
30288,S,Montrose (Loop-bound),Montrose,Montrose (Brown Line),41500,true,false,false,false,true,false,false,false,false,false,"(41.961756, -87.675047)",13,22616,6,225,18
30296,W,Morgan (Harlem-54th/Cermak-bound),Morgan,Morgan (Green & Pink Lines),41510,true,false,false,true,false,false,false,false,true,false,"(41.885586, -87.652193)",41,14917,29,63,46
